GroupID,GroupName,VariableID,VariableName,VariableDescription
CARS,California Association of Realtors,Affordability,CARS Affordability Index,C.A.R.'s Traditional Housing Affordability Index (HAI) measures the percentage of households that can afford to purchase the median priced home in the state and regions of California based on traditional assumptions. C.A.R. also reports its traditional and first-time buyer indexes for regions and select counties within the state. The HAI is the most fundamental measure of housing well-being for buyers in the state.
B25091,Mortgage Status by monthly owner costs as percentage of household income,Margin of Error; Housing units without a mortgage: - Not computed,Margin of Error; Housing units without a mortgage: - Not computed,"Margin of Error - The count of housing units without a mortgage, with monthly costs as a percentage of household income not computed"
B25092,Median Monthly owner costs as percentage of household income,Estimate; Total:,Estimate; Total:,The median monthly home owner costs as a percentage of household income in dollars for housing units sample
B25092,Median Monthly owner costs as percentage of household income,Margin of Error; Total:,Margin of Error; Total:,Margin of Error - The median monthly home owner costs as a percentage of household income in dollars for for housing units in sample
B25092,Median Monthly owner costs as percentage of household income,Estimate; Housing units with a mortgage,Estimate; Housing units with a mortgage,The median monthly home owner costs as a percentage of household income for housing units with a mortgage in dollars for sample
B25092,Median Monthly owner costs as percentage of household income,Margin of Error; Housing units with a mortgage,Margin of Error; Housing units with a mortgage,Margin of Error - The median monthly home owner costs as a percentage of household income for housing units with a mortgage in dollars for sample
B25092,Median Monthly owner costs as percentage of household income,Estimate; Housing units without a mortgage,Estimate; Housing units without a mortgage,The median monthly home owner costs as a percentage of household income for housing units without a mortgage in dollars for sample
B25092,Median Monthly owner costs as percentage of household income,Margin of Error; Housing units without a mortgage,Margin of Error; Housing units without a mortgage,Margin of Error - The median monthly home owner costs as a percentage of household income for housing units without a mortgage in dollars for sample
B25096,Mortgage status by housing unit value,Estimate; Total:,Estimate; Total:,The count of housing units in sample
B25096,Mortgage status by housing unit value,Margin of Error; Total:,Margin of Error; Total:,Margin of Error - The count of housing units in sample
B25096,Mortgage status by housing unit value,Estimate; With a mortgage:,Estimate; With a mortgage:,The count of housing units with a mortgage
B25096,Mortgage status by housing unit value,Margin of Error; With a mortgage:,Margin of Error; With a mortgage:,Margin of Error - The count of housing units with a mortgage
B25096,Mortgage status by housing unit value,"Estimate; With a mortgage: - Less than $50,000","Estimate; With a mortgage: - Less than $50,000",The count of housing units with a mortgage with a house value in the given bracket
B25096,Mortgage status by housing unit value,"Margin of Error; With a mortgage: - Less than $50,000","Margin of Error; With a mortgage: - Less than $50,000",Margin of Error - The count of housing units with a mortgage with a house value in the given bracket
B25096,Mortgage status by housing unit value,"Estimate; With a mortgage: - $50,000 to $99,999","Estimate; With a mortgage: - $50,000 to $99,999",The count of housing units with a mortgage with a house value in the given bracket
B25096,Mortgage status by housing unit value,"Margin of Error; With a mortgage: - $50,000 to $99,999","Margin of Error; With a mortgage: - $50,000 to $99,999",Margin of Error - The count of housing units with a mortgage with a house value in the given bracket
B25096,Mortgage status by housing unit value,"Estimate; With a mortgage: - $100,000 to $149,999","Estimate; With a mortgage: - $100,000 to $149,999",The count of housing units with a mortgage with a house value in the given bracket
B25096,Mortgage status by housing unit value,"Margin of Error; With a mortgage: - $100,000 to $149,999","Margin of Error; With a mortgage: - $100,000 to $149,999",Margin of Error - The count of housing units with a mortgage with a house value in the given bracket
B25096,Mortgage status by housing unit value,"Estimate; With a mortgage: - $150,000 to $199,999","Estimate; With a mortgage: - $150,000 to $199,999",The count of housing units with a mortgage with a house value in the given bracket
B25096,Mortgage status by housing unit value,"Margin of Error; With a mortgage: - $150,000 to $199,999","Margin of Error; With a mortgage: - $150,000 to $199,999",Margin of Error - The count of housing units with a mortgage with a house value in the given bracket
B25096,Mortgage status by housing unit value,"Estimate; With a mortgage: - $200,000 to $299,999","Estimate; With a mortgage: - $200,000 to $299,999",The count of housing units with a mortgage with a house value in the given bracket
B25096,Mortgage status by housing unit value,"Margin of Error; With a mortgage: - $200,000 to $299,999","Margin of Error; With a mortgage: - $200,000 to $299,999",Margin of Error - The count of housing units with a mortgage with a house value in the given bracket
B25096,Mortgage status by housing unit value,"Estimate; With a mortgage: - $300,000 to $499,999","Estimate; With a mortgage: - $300,000 to $499,999",The count of housing units with a mortgage with a house value in the given bracket
B25096,Mortgage status by housing unit value,"Margin of Error; With a mortgage: - $300,000 to $499,999","Margin of Error; With a mortgage: - $300,000 to $499,999",Margin of Error - The count of housing units with a mortgage with a house value in the given bracket
B25096,Mortgage status by housing unit value,"Estimate; With a mortgage: - $500,000 or more","Estimate; With a mortgage: - $500,000 or more",The count of housing units with a mortgage with a house value in the given bracket
B25096,Mortgage status by housing unit value,"Margin of Error; With a mortgage: - $500,000 or more","Margin of Error; With a mortgage: - $500,000 or more",Margin of Error - The count of housing units with a mortgage with a house value in the given bracket
B25096,Mortgage status by housing unit value,Estimate; Not mortgaged:,Estimate; Not mortgaged:,The count of housing units without a mortgage
B25096,Mortgage status by housing unit value,Margin of Error; Not mortgaged:,Margin of Error; Not mortgaged:,Margin of Error - The count of housing units without a mortgage
B25096,Mortgage status by housing unit value,"Estimate; Not mortgaged: - Less than $50,000","Estimate; Not mortgaged: - Less than $50,000",The count of housing units without a mortgage with a house value in the given bracket
B25096,Mortgage status by housing unit value,"Margin of Error; Not mortgaged: - Less than $50,000","Margin of Error; Not mortgaged: - Less than $50,000",Margin of Error - The count of housing units without a mortgage with a house value in the given bracket
B25096,Mortgage status by housing unit value,"Estimate; Not mortgaged: - $50,000 to $99,999","Estimate; Not mortgaged: - $50,000 to $99,999",The count of housing units without a mortgage with a house value in the given bracket
B25096,Mortgage status by housing unit value,"Margin of Error; Not mortgaged: - $50,000 to $99,999","Margin of Error; Not mortgaged: - $50,000 to $99,999",Margin of Error - The count of housing units without a mortgage with a house value in the given bracket
B25096,Mortgage status by housing unit value,"Estimate; Not mortgaged: - $100,000 to $149,999","Estimate; Not mortgaged: - $100,000 to $149,999",The count of housing units without a mortgage with a house value in the given bracket
B25096,Mortgage status by housing unit value,"Margin of Error; Not mortgaged: - $100,000 to $149,999","Margin of Error; Not mortgaged: - $100,000 to $149,999",Margin of Error - The count of housing units without a mortgage with a house value in the given bracket
B25096,Mortgage status by housing unit value,"Estimate; Not mortgaged: - $150,000 to $199,999","Estimate; Not mortgaged: - $150,000 to $199,999",The count of housing units without a mortgage with a house value in the given bracket
B25096,Mortgage status by housing unit value,"Margin of Error; Not mortgaged: - $150,000 to $199,999","Margin of Error; Not mortgaged: - $150,000 to $199,999",Margin of Error - The count of housing units without a mortgage with a house value in the given bracket
B25096,Mortgage status by housing unit value,"Estimate; Not mortgaged: - $200,000 to $299,999","Estimate; Not mortgaged: - $200,000 to $299,999",The count of housing units without a mortgage with a house value in the given bracket
B25096,Mortgage status by housing unit value,"Margin of Error; Not mortgaged: - $200,000 to $299,999","Margin of Error; Not mortgaged: - $200,000 to $299,999",Margin of Error - The count of housing units without a mortgage with a house value in the given bracket
B25096,Mortgage status by housing unit value,"Estimate; Not mortgaged: - $300,000 to $499,999","Estimate; Not mortgaged: - $300,000 to $499,999",The count of housing units without a mortgage with a house value in the given bracket
B25096,Mortgage status by housing unit value,"Margin of Error; Not mortgaged: - $300,000 to $499,999","Margin of Error; Not mortgaged: - $300,000 to $499,999",Margin of Error - The count of housing units without a mortgage with a house value in the given bracket
B25096,Mortgage status by housing unit value,"Estimate; Not mortgaged: - $500,000 or more","Estimate; Not mortgaged: - $500,000 or more",The count of housing units without a mortgage with a house value in the given bracket
B25096,Mortgage status by housing unit value,"Margin of Error; Not mortgaged: - $500,000 or more","Margin of Error; Not mortgaged: - $500,000 or more",Margin of Error - The count of housing units without a mortgage with a house value in the given bracket
B25097,Mortgage status by meadian housing unit value,Estimate; Total:,Estimate; Total:,The median housing unit value in dollars for sample
B25097,Mortgage status by meadian housing unit value,Margin of Error; Total:,Margin of Error; Total:,Margin of Error - The median housing unit value in dollars for sample
B25097,Mortgage status by meadian housing unit value,Estimate; Total: - Median value for units with a mortgage,Estimate; Total: - Median value for units with a mortgage,The median housing unit value for housing units with a mortgage in dollars
B25097,Mortgage status by meadian housing unit value,Margin of Error; Total: - Median value for units with a mortgage,Margin of Error; Total: - Median value for units with a mortgage,Margin of Error - The median housing unit value for housing units with a mortgage in dollars
B25097,Mortgage status by meadian housing unit value,Estimate; Total: - Median value for units without a mortgage,Estimate; Total: - Median value for units without a mortgage,The median housing unit value for housing units without a mortgage in dollars
B25097,Mortgage status by meadian housing unit value,Margin of Error; Total: - Median value for units without a mortgage,Margin of Error; Total: - Median value for units without a mortgage,Margin of Error - The median housing unit value for housing units without a mortgage in dollars
B25099,Mortgage status by median household income,Estimate; Total:,Estimate; Total:,The median household income in dollars for sample
B25099,Mortgage status by median household income,Margin of Error; Total:,Margin of Error; Total:,Margin of Error - The median household income in dollars for sample
B25099,Mortgage status by median household income,Estimate; Total: - Median household income for units with a mortgage,Estimate; Total: - Median household income for units with a mortgage,The median household income for housing units with a mortgage in dollars
B25099,Mortgage status by median household income,Margin of Error; Total: - Median household income for units with a mortgage,Margin of Error; Total: - Median household income for units with a mortgage,Margin of Error - The median household income for housing units with a mortgage in dollars
B25099,Mortgage status by median household income,Estimate; Total: - Median household for units without a mortgage,Estimate; Total: - Median household for units without a mortgage,The median household income for housing units without a mortgage in dollars
B25099,Mortgage status by median household income,Margin of Error; Total: - Median household for units without a mortgage,Margin of Error; Total: - Median household for units without a mortgage,Margin of Error - The median household income for housing units without a mortgage in dollars
B25100,Mortgage status by ratio of housing unit value to household income,Estimate; Total:,Estimate; Total:,The count of housing units in sample
B25100,Mortgage status by ratio of housing unit value to household income,Margin of Error; Total:,Margin of Error; Total:,Margin of Error - The count of housing units in sample
B25100,Mortgage status by ratio of housing unit value to household income,Estimate; With a mortgage:,Estimate; With a mortgage:,The count of housing units with a mortgage in the sample
B25100,Mortgage status by ratio of housing unit value to household income,Margin of Error; With a mortgage:,Margin of Error; With a mortgage:,Margin of Error - The count of housing units with a mortgage in the sample
B25100,Mortgage status by ratio of housing unit value to household income,Estimate; With a mortgage: - Less than 2.0,Estimate; With a mortgage: - Less than 2.0,"The count of housing units with a mortgage, with a ratio of housing unit value to household income in given bracket"
B25100,Mortgage status by ratio of housing unit value to household income,Margin of Error; With a mortgage: - Less than 2.0,Margin of Error; With a mortgage: - Less than 2.0,"Margin of Error - The count of housing units with a mortgage, with a ratio of housing unit value to household income in given bracket"
B25100,Mortgage status by ratio of housing unit value to household income,Estimate; With a mortgage: - 2.0 to 2.9,Estimate; With a mortgage: - 2.0 to 2.9,"The count of housing units with a mortgage, with a ratio of housing unit value to household income in given bracket"
B25100,Mortgage status by ratio of housing unit value to household income,Margin of Error; With a mortgage: - 2.0 to 2.9,Margin of Error; With a mortgage: - 2.0 to 2.9,"Margin of Error - The count of housing units with a mortgage, with a ratio of housing unit value to household income in given bracket"
B25100,Mortgage status by ratio of housing unit value to household income,Estimate; With a mortgage: - 3.0 to 3.9,Estimate; With a mortgage: - 3.0 to 3.9,"The count of housing units with a mortgage, with a ratio of housing unit value to household income in given bracket"
B25100,Mortgage status by ratio of housing unit value to household income,Margin of Error; With a mortgage: - 3.0 to 3.9,Margin of Error; With a mortgage: - 3.0 to 3.9,"Margin of Error - The count of housing units with a mortgage, with a ratio of housing unit value to household income in given bracket"
B25100,Mortgage status by ratio of housing unit value to household income,Estimate; With a mortgage: - 4.0 or more,Estimate; With a mortgage: - 4.0 or more,"The count of housing units with a mortgage, with a ratio of housing unit value to household income in given bracket"
B25100,Mortgage status by ratio of housing unit value to household income,Margin of Error; With a mortgage: - 4.0 or more,Margin of Error; With a mortgage: - 4.0 or more,"Margin of Error - The count of housing units with a mortgage, with a ratio of housing unit value to household income in given bracket"
B25100,Mortgage status by ratio of housing unit value to household income,Estimate; With a mortgage: - Not computed,Estimate; With a mortgage: - Not computed,"The count of housing units with a mortgage, with a ratio of housing unit value to household income in given bracket"
B25100,Mortgage status by ratio of housing unit value to household income,Margin of Error; With a mortgage: - Not computed,Margin of Error; With a mortgage: - Not computed,"Margin of Error - The count of housing units with a mortgage, with a ratio of housing unit value to household income in given bracket"
B25100,Mortgage status by ratio of housing unit value to household income,Estimate; Not mortgaged:,Estimate; Not mortgaged:,The count of housing units without a mortgage in the sample
B25100,Mortgage status by ratio of housing unit value to household income,Margin of Error; Not mortgaged:,Margin of Error; Not mortgaged:,Margin of Error - The count of housing units without a mortgage in the sample
B25100,Mortgage status by ratio of housing unit value to household income,Estimate; Not mortgaged: - Less than 2.0,Estimate; Not mortgaged: - Less than 2.0,"The count of housing units without a mortgage, with a ratio of housing unit value to household income in given bracket"
B25100,Mortgage status by ratio of housing unit value to household income,Margin of Error; Not mortgaged: - Less than 2.0,Margin of Error; Not mortgaged: - Less than 2.0,"Margin of Error - The count of housing units without a mortgage, with a ratio of housing unit value to household income in given bracket"
B25100,Mortgage status by ratio of housing unit value to household income,Estimate; Not mortgaged: - 2.0 to 2.9,Estimate; Not mortgaged: - 2.0 to 2.9,"The count of housing units without a mortgage, with a ratio of housing unit value to household income in given bracket"
B25100,Mortgage status by ratio of housing unit value to household income,Margin of Error; Not mortgaged: - 2.0 to 2.9,Margin of Error; Not mortgaged: - 2.0 to 2.9,"Margin of Error - The count of housing units without a mortgage, with a ratio of housing unit value to household income in given bracket"
B25100,Mortgage status by ratio of housing unit value to household income,Estimate; Not mortgaged: - 3.0 to 3.9,Estimate; Not mortgaged: - 3.0 to 3.9,"The count of housing units without a mortgage, with a ratio of housing unit value to household income in given bracket"
B25100,Mortgage status by ratio of housing unit value to household income,Margin of Error; Not mortgaged: - 3.0 to 3.9,Margin of Error; Not mortgaged: - 3.0 to 3.9,"Margin of Error - The count of housing units without a mortgage, with a ratio of housing unit value to household income in given bracket"
B25100,Mortgage status by ratio of housing unit value to household income,Estimate; Not mortgaged: - 4.0 or more,Estimate; Not mortgaged: - 4.0 or more,"The count of housing units without a mortgage, with a ratio of housing unit value to household income in given bracket"
B25100,Mortgage status by ratio of housing unit value to household income,Margin of Error; Not mortgaged: - 4.0 or more,Margin of Error; Not mortgaged: - 4.0 or more,"Margin of Error - The count of housing units without a mortgage, with a ratio of housing unit value to household income in given bracket"
B25100,Mortgage status by ratio of housing unit value to household income,Estimate; Not mortgaged: - Not computed,Estimate; Not mortgaged: - Not computed,"The count of housing units without a mortgage, with a ratio of housing unit value to household income in given bracket"
B25100,Mortgage status by ratio of housing unit value to household income,Margin of Error; Not mortgaged: - Not computed,Margin of Error; Not mortgaged: - Not computed,"Margin of Error - The count of housing units without a mortgage, with a ratio of housing unit value to household income in given bracket"
B25104,Monthly Housing Costs,Estimate; Total:,Estimate; Total:,The count of housing units in sample
B25104,Monthly Housing Costs,Margin of Error; Total:,Margin of Error; Total:,Margin of Error - The count of housing units in sample
B25104,Monthly Housing Costs,Estimate; Less than $100,Estimate; Less than $100,The count of housing units with monthly housing costs in given bracket
B25104,Monthly Housing Costs,Margin of Error; Less than $100,Margin of Error; Less than $100,Margin of Error - The count of housing units with monthly housing costs in given bracket
B25104,Monthly Housing Costs,Estimate; $100 to $199,Estimate; $100 to $199,The count of housing units with monthly housing costs in given bracket
B25104,Monthly Housing Costs,Margin of Error; $100 to $199,Margin of Error; $100 to $199,Margin of Error - The count of housing units with monthly housing costs in given bracket
B25104,Monthly Housing Costs,Estimate; $200 to $299,Estimate; $200 to $299,The count of housing units with monthly housing costs in given bracket
B25104,Monthly Housing Costs,Margin of Error; $200 to $299,Margin of Error; $200 to $299,Margin of Error - The count of housing units with monthly housing costs in given bracket
B25104,Monthly Housing Costs,Estimate; $300 to $399,Estimate; $300 to $399,The count of housing units with monthly housing costs in given bracket
B25104,Monthly Housing Costs,Margin of Error; $300 to $399,Margin of Error; $300 to $399,Margin of Error - The count of housing units with monthly housing costs in given bracket
B25104,Monthly Housing Costs,Estimate; $400 to $499,Estimate; $400 to $499,The count of housing units with monthly housing costs in given bracket
B25104,Monthly Housing Costs,Margin of Error; $400 to $499,Margin of Error; $400 to $499,Margin of Error - The count of housing units with monthly housing costs in given bracket
B25104,Monthly Housing Costs,Estimate; $500 to $599,Estimate; $500 to $599,The count of housing units with monthly housing costs in given bracket
B25104,Monthly Housing Costs,Margin of Error; $500 to $599,Margin of Error; $500 to $599,Margin of Error - The count of housing units with monthly housing costs in given bracket
B25104,Monthly Housing Costs,Estimate; $600 to $699,Estimate; $600 to $699,The count of housing units with monthly housing costs in given bracket
B25104,Monthly Housing Costs,Margin of Error; $600 to $699,Margin of Error; $600 to $699,Margin of Error - The count of housing units with monthly housing costs in given bracket
B25104,Monthly Housing Costs,Estimate; $700 to $799,Estimate; $700 to $799,The count of housing units with monthly housing costs in given bracket
B25104,Monthly Housing Costs,Margin of Error; $700 to $799,Margin of Error; $700 to $799,Margin of Error - The count of housing units with monthly housing costs in given bracket
B25104,Monthly Housing Costs,Estimate; $800 to $899,Estimate; $800 to $899,The count of housing units with monthly housing costs in given bracket
B25104,Monthly Housing Costs,Margin of Error; $800 to $899,Margin of Error; $800 to $899,Margin of Error - The count of housing units with monthly housing costs in given bracket
B25104,Monthly Housing Costs,Estimate; $900 to $999,Estimate; $900 to $999,The count of housing units with monthly housing costs in given bracket
B25104,Monthly Housing Costs,Margin of Error; $900 to $999,Margin of Error; $900 to $999,Margin of Error - The count of housing units with monthly housing costs in given bracket
B25104,Monthly Housing Costs,"Estimate; $1,000 to $1,499","Estimate; $1,000 to $1,499",The count of housing units with monthly housing costs in given bracket
B25104,Monthly Housing Costs,"Margin of Error; $1,000 to $1,499","Margin of Error; $1,000 to $1,499",Margin of Error - The count of housing units with monthly housing costs in given bracket
B25104,Monthly Housing Costs,"Estimate; $1,500 to $1,999","Estimate; $1,500 to $1,999",The count of housing units with monthly housing costs in given bracket
B25104,Monthly Housing Costs,"Margin of Error; $1,500 to $1,999","Margin of Error; $1,500 to $1,999",Margin of Error - The count of housing units with monthly housing costs in given bracket
B25104,Monthly Housing Costs,"Estimate; $2,000 or more","Estimate; $2,000 or more",The count of housing units with monthly housing costs in given bracket
B25104,Monthly Housing Costs,"Margin of Error; $2,000 or more","Margin of Error; $2,000 or more",Margin of Error - The count of housing units with monthly housing costs in given bracket
B25104,Monthly Housing Costs,Estimate; No cash rent,Estimate; No cash rent,The count of housing units with monthly housing costs in given bracket
B25104,Monthly Housing Costs,Margin of Error; No cash rent,Margin of Error; No cash rent,Margin of Error - The count of housing units with monthly housing costs in given bracket
B19013,Median Household Income,Estimate; Median household income in the past 12 months,,The median household income
B19013,Median Household Income,Margin of Error; Median household income in the past 12 months,,Margin of Error - The median household income
B19081,Mean Quintile of Household Income,Estimate; Quintile Means: - Lowest Quintile,Estimate; Quintile Means: - Lowest Quintile,The mean household income for given quintile
B19081,Mean Quintile of Household Income,Margin of Error; Quintile Means: - Lowest Quintile,Margin of Error; Quintile Means: - Lowest Quintile,Margin of Error - The mean household income for given quintile
B19081,Mean Quintile of Household Income,Estimate; Quintile Means: - Second Quintile,Estimate; Quintile Means: - Second Quintile,The mean household income for given quintile
B19081,Mean Quintile of Household Income,Margin of Error; Quintile Means: - Second Quintile,Margin of Error; Quintile Means: - Second Quintile,Margin of Error - The mean household income for given quintile
B19081,Mean Quintile of Household Income,Estimate; Quintile Means: - Third Quintile,Estimate; Quintile Means: - Third Quintile,The mean household income for given quintile
B19081,Mean Quintile of Household Income,Margin of Error; Quintile Means: - Third Quintile,Margin of Error; Quintile Means: - Third Quintile,Margin of Error - The mean household income for given quintile
B19081,Mean Quintile of Household Income,Estimate; Quintile Means: - Fourth Quintile,Estimate; Quintile Means: - Fourth Quintile,The mean household income for given quintile
B19081,Mean Quintile of Household Income,Margin of Error; Quintile Means: - Fourth Quintile,Margin of Error; Quintile Means: - Fourth Quintile,Margin of Error - The mean household income for given quintile
B19081,Mean Quintile of Household Income,Estimate; Quintile Means: - Highest Quintile,Estimate; Quintile Means: - Highest Quintile,The mean household income for given quintile
B19081,Mean Quintile of Household Income,Margin of Error; Quintile Means: - Highest Quintile,Margin of Error; Quintile Means: - Highest Quintile,Margin of Error - The mean household income for given quintile
B19081,Mean Quintile of Household Income,Estimate; Top 5 Percent,Estimate; Top 5 Percent,The mean household income of the top 5 percent
B19081,Mean Quintile of Household Income,Margin of Error; Top 5 Percent,Margin of Error; Top 5 Percent,Margin of Error - The mean household income of the top 5 percent
B07001,Geographical Mobility in past year by Age for Current Resident,Estimate; Total:,Estimate; Total:,The count of people in sample
B07001,Geographical Mobility in past year by Age for Current Resident,Margin of Error; Total:,Margin of Error; Total:,Margin of Error - The count of people in sample
B07001,Geographical Mobility in past year by Age for Current Resident,Estimate; 1 to 4 years,Estimate; 1 to 4 years,The count of people in sample in age bracket
B07001,Geographical Mobility in past year by Age for Current Resident,Margin of Error; 1 to 4 years,Margin of Error; 1 to 4 years,Margin of Error - The count of people in sample in age bracket
B07001,Geographical Mobility in past year by Age for Current Resident,Estimate; 5 to 9 years,Estimate; 5 to 9 years,The count of people in sample in age bracket
B07001,Geographical Mobility in past year by Age for Current Resident,Margin of Error; 5 to 9 years,Margin of Error; 5 to 9 years,Margin of Error - The count of people in sample in age bracket
B07001,Geographical Mobility in past year by Age for Current Resident,Estimate; 10 to 14 years,Estimate; 10 to 14 years,The count of people in sample in age bracket
B07001,Geographical Mobility in past year by Age for Current Resident,Margin of Error; 10 to 14 years,Margin of Error; 10 to 14 years,Margin of Error - The count of people in sample in age bracket
B07001,Geographical Mobility in past year by Age for Current Resident,Estimate; 15 to 17 years,Estimate; 15 to 17 years,The count of people in sample in age bracket
B07001,Geographical Mobility in past year by Age for Current Resident,Margin of Error; 15 to 17 years,Margin of Error; 15 to 17 years,Margin of Error - The count of people in sample in age bracket
B07001,Geographical Mobility in past year by Age for Current Resident,Estimate; 18 and 19 years,Estimate; 18 and 19 years,The count of people in sample in age bracket
B07001,Geographical Mobility in past year by Age for Current Resident,Margin of Error; 18 and 19 years,Margin of Error; 18 and 19 years,Margin of Error - The count of people in sample in age bracket
B07001,Geographical Mobility in past year by Age for Current Resident,Estimate; 20 to 24 years,Estimate; 20 to 24 years,The count of people in sample in age bracket
B07001,Geographical Mobility in past year by Age for Current Resident,Margin of Error; 20 to 24 years,Margin of Error; 20 to 24 years,Margin of Error - The count of people in sample in age bracket
B07001,Geographical Mobility in past year by Age for Current Resident,Estimate; 25 to 29 years,Estimate; 25 to 29 years,The count of people in sample in age bracket
B07001,Geographical Mobility in past year by Age for Current Resident,Margin of Error; 25 to 29 years,Margin of Error; 25 to 29 years,Margin of Error - The count of people in sample in age bracket
B07001,Geographical Mobility in past year by Age for Current Resident,Estimate; 30 to 34 years,Estimate; 30 to 34 years,The count of people in sample in age bracket
B07001,Geographical Mobility in past year by Age for Current Resident,Margin of Error; 30 to 34 years,Margin of Error; 30 to 34 years,Margin of Error - The count of people in sample in age bracket
B07001,Geographical Mobility in past year by Age for Current Resident,Estimate; 35 to 39 years,Estimate; 35 to 39 years,The count of people in sample in age bracket
B07001,Geographical Mobility in past year by Age for Current Resident,Margin of Error; 35 to 39 years,Margin of Error; 35 to 39 years,Margin of Error - The count of people in sample in age bracket
B07001,Geographical Mobility in past year by Age for Current Resident,Estimate; 40 to 44 years,Estimate; 40 to 44 years,The count of people in sample in age bracket
B07001,Geographical Mobility in past year by Age for Current Resident,Margin of Error; 40 to 44 years,Margin of Error; 40 to 44 years,Margin of Error - The count of people in sample in age bracket
B07001,Geographical Mobility in past year by Age for Current Resident,Estimate; 45 to 49 years,Estimate; 45 to 49 years,The count of people in sample in age bracket
B07001,Geographical Mobility in past year by Age for Current Resident,Margin of Error; 45 to 49 years,Margin of Error; 45 to 49 years,Margin of Error - The count of people in sample in age bracket
B07001,Geographical Mobility in past year by Age for Current Resident,Estimate; 50 to 54 years,Estimate; 50 to 54 years,The count of people in sample in age bracket
B07001,Geographical Mobility in past year by Age for Current Resident,Margin of Error; 50 to 54 years,Margin of Error; 50 to 54 years,Margin of Error - The count of people in sample in age bracket
B07001,Geographical Mobility in past year by Age for Current Resident,Estimate; 55 to 59 years,Estimate; 55 to 59 years,The count of people in sample in age bracket
B07001,Geographical Mobility in past year by Age for Current Resident,Margin of Error; 55 to 59 years,Margin of Error; 55 to 59 years,Margin of Error - The count of people in sample in age bracket
B07001,Geographical Mobility in past year by Age for Current Resident,Estimate; 60 and 61 years,Estimate; 60 and 61 years,The count of people in sample in age bracket
B07001,Geographical Mobility in past year by Age for Current Resident,Margin of Error; 60 and 61 years,Margin of Error; 60 and 61 years,Margin of Error - The count of people in sample in age bracket
B07001,Geographical Mobility in past year by Age for Current Resident,Estimate; 62 to 64 years,Estimate; 62 to 64 years,The count of people in sample in age bracket
B07001,Geographical Mobility in past year by Age for Current Resident,Margin of Error; 62 to 64 years,Margin of Error; 62 to 64 years,Margin of Error - The count of people in sample in age bracket
B07001,Geographical Mobility in past year by Age for Current Resident,Estimate; 65 to 69 years,Estimate; 65 to 69 years,The count of people in sample in age bracket
B07001,Geographical Mobility in past year by Age for Current Resident,Margin of Error; 65 to 69 years,Margin of Error; 65 to 69 years,Margin of Error - The count of people in sample in age bracket
B07001,Geographical Mobility in past year by Age for Current Resident,Estimate; 70 to 74 years,Estimate; 70 to 74 years,The count of people in sample in age bracket
B07001,Geographical Mobility in past year by Age for Current Resident,Margin of Error; 70 to 74 years,Margin of Error; 70 to 74 years,Margin of Error - The count of people in sample in age bracket
B07001,Geographical Mobility in past year by Age for Current Resident,Estimate; 75 to 79 years,Estimate; 75 to 79 years,The count of people in sample in age bracket
B07001,Geographical Mobility in past year by Age for Current Resident,Margin of Error; 75 to 79 years,Margin of Error; 75 to 79 years,Margin of Error - The count of people in sample in age bracket
B07001,Geographical Mobility in past year by Age for Current Resident,Estimate; 80 to 84 years,Estimate; 80 to 84 years,The count of people in sample in age bracket
B07001,Geographical Mobility in past year by Age for Current Resident,Margin of Error; 80 to 84 years,Margin of Error; 80 to 84 years,Margin of Error - The count of people in sample in age bracket
B07001,Geographical Mobility in past year by Age for Current Resident,Estimate; 85 years and over,Estimate; 85 years and over,The count of people in sample in age bracket
B07001,Geographical Mobility in past year by Age for Current Resident,Margin of Error; 85 years and over,Margin of Error; 85 years and over,Margin of Error - The count of people in sample in age bracket
B07001,Geographical Mobility in past year by Age for Current Resident,Estimate; Same house 1 year ago:,Estimate; Same house 1 year ago:,The count of people living in the same house as 1 year ago
B07001,Geographical Mobility in past year by Age for Current Resident,Margin of Error; Same house 1 year ago:,Margin of Error; Same house 1 year ago:,Margin of Error - The count of people living in the same house as 1 year ago
B07001,Geographical Mobility in past year by Age for Current Resident,Estimate; Same house 1 year ago: - 1 to 4 years,Estimate; Same house 1 year ago: - 1 to 4 years,The count of people living in the same house as 1 year ago in age bracket
B07001,Geographical Mobility in past year by Age for Current Resident,Margin of Error; Same house 1 year ago: - 1 to 4 years,Margin of Error; Same house 1 year ago: - 1 to 4 years,Margin of Error - The count of people living in the same house as 1 year ago in age bracket
B07001,Geographical Mobility in past year by Age for Current Resident,Estimate; Same house 1 year ago: - 5 to 9 years,Estimate; Same house 1 year ago: - 5 to 9 years,The count of people living in the same house as 1 year ago in age bracket
B07001,Geographical Mobility in past year by Age for Current Resident,Margin of Error; Same house 1 year ago: - 5 to 9 years,Margin of Error; Same house 1 year ago: - 5 to 9 years,Margin of Error - The count of people living in the same house as 1 year ago in age bracket
B07001,Geographical Mobility in past year by Age for Current Resident,Estimate; Same house 1 year ago: - 10 to 14 years,Estimate; Same house 1 year ago: - 10 to 14 years,The count of people living in the same house as 1 year ago in age bracket
B07001,Geographical Mobility in past year by Age for Current Resident,Margin of Error; Same house 1 year ago: - 10 to 14 years,Margin of Error; Same house 1 year ago: - 10 to 14 years,Margin of Error - The count of people living in the same house as 1 year ago in age bracket
