Id,Id2,Geography,Year,Estimate; Total:,Margin of Error; Total:,Estimate; With cash rent:,Margin of Error; With cash rent:,Estimate; With cash rent: - Less than $100,Margin of Error; With cash rent: - Less than $100,Estimate; With cash rent: - $100 to $149,Margin of Error; With cash rent: - $100 to $149,Estimate; With cash rent: - $150 to $199,Margin of Error; With cash rent: - $150 to $199,Estimate; With cash rent: - $200 to $249,Margin of Error; With cash rent: - $200 to $249,Estimate; With cash rent: - $250 to $299,Margin of Error; With cash rent: - $250 to $299,Estimate; With cash rent: - $300 to $349,Margin of Error; With cash rent: - $300 to $349,Estimate; With cash rent: - $350 to $399,Margin of Error; With cash rent: - $350 to $399,Estimate; With cash rent: - $400 to $449,Margin of Error; With cash rent: - $400 to $449,Estimate; With cash rent: - $450 to $499,Margin of Error; With cash rent: - $450 to $499,Estimate; With cash rent: - $500 to $549,Margin of Error; With cash rent: - $500 to $549,Estimate; With cash rent: - $550 to $599,Margin of Error; With cash rent: - $550 to $599,Estimate; With cash rent: - $600 to $649,Margin of Error; With cash rent: - $600 to $649,Estimate; With cash rent: - $650 to $699,Margin of Error; With cash rent: - $650 to $699,Estimate; With cash rent: - $700 to $749,Margin of Error; With cash rent: - $700 to $749,Estimate; With cash rent: - $750 to $799,Margin of Error; With cash rent: - $750 to $799,Estimate; With cash rent: - $800 to $899,Margin of Error; With cash rent: - $800 to $899,Estimate; With cash rent: - $900 to $999,Margin of Error; With cash rent: - $900 to $999,"Estimate; With cash rent: - $1,000 to $1,249","Margin of Error; With cash rent: - $1,000 to $1,249","Estimate; With cash rent: - $1,250 to $1,499","Margin of Error; With cash rent: - $1,250 to $1,499","Estimate; With cash rent: - $1,500 to $1,999","Margin of Error; With cash rent: - $1,500 to $1,999","Estimate; With cash rent: - $2,000 or more","Margin of Error; With cash rent: - $2,000 or more",Estimate; No cash rent,Margin of Error; No cash rent
0500000US06037,6037,"Los Angeles County, California",2007,1623435,14196,1584203,14435,6052,1276,4285,1198,9978,1620,28125,2461,12816,1803,13349,2037,15483,2119,21759,2661,22250,2472,43199,3674,37215,3243,68397,4282,62897,4110,77676,4997,84889,5335,186270,7440,170366,6248,285790,7442,168226,6496,173938,8073,91243,5615,39232,3109
0500000US06039,6039,"Madera County, California",2007,16321,1792,14841,1841,0,292,257,307,455,414,854,795,92,99,343,294,673,399,708,473,542,354,1476,631,1147,611,679,386,1523,657,792,462,781,436,1319,538,1508,899,1232,663,229,278,37,59,194,231,1480,608
0500000US06041,6041,"Marin County, California",2007,34803,2294,33453,2359,0,292,315,352,338,425,666,407,243,318,0,292,301,345,388,294,101,165,299,210,209,218,372,351,583,355,345,352,202,193,836,507,1089,555,7420,1274,6691,1490,7734,1442,5321,1096,1350,576
0500000US06045,6045,"Mendocino County, California",2007,12182,1595,11638,1578,172,278,196,177,311,400,250,237,414,381,212,180,576,524,283,294,67,113,477,335,543,475,968,481,818,424,971,532,1017,688,819,375,459,328,2405,981,631,456,49,85,0,292,544,311
0500000US06047,6047,"Merced County, California",2007,31692,2480,28996,2493,411,413,254,234,435,340,726,500,497,362,917,465,1124,617,1958,872,2125,909,2270,865,1537,673,1894,821,1442,669,1592,655,2321,901,3509,1076,2787,996,2673,910,321,271,203,182,0,292,2696,733
0500000US06053,6053,"Monterey County, California",2007,61203,2997,58881,2923,0,292,0,292,312,283,919,515,462,473,403,268,883,498,578,393,521,356,1404,646,722,399,2218,905,1433,577,3235,909,2713,925,7732,1318,6671,1446,10631,1712,7887,1330,6850,1332,3307,868,2322,720
0500000US06055,6055,"Napa County, California",2007,16768,1452,15767,1399,112,133,76,125,62,102,266,206,118,148,96,152,165,191,488,492,93,118,314,345,498,450,159,164,836,522,480,428,590,370,1318,542,1193,568,3438,1022,2323,828,2430,850,712,531,1001,434
0500000US06059,6059,"Orange County, California",2007,364220,6109,354158,5926,131,126,977,507,1360,601,3484,832,1487,547,1689,694,1766,629,1716,758,976,451,2717,1013,1295,620,3515,1050,2676,742,5412,1142,4770,1059,19413,2284,29086,2777,82427,4036,70929,3997,78986,4030,39346,2975,10062,1808
0500000US06061,6061,"Placer County, California",2007,37339,2430,35960,2405,79,124,0,292,395,423,284,234,436,314,109,132,138,159,468,307,680,542,918,566,213,212,596,470,1345,711,1906,798,2448,904,5892,1330,3536,1157,5961,1486,5575,1363,3597,1099,1384,583,1379,526
0500000US06065,6065,"Riverside County, California",2007,197065,7188,189930,7206,819,467,633,472,2896,1052,1403,535,2435,799,2979,743,2029,775,4524,1243,3153,1086,7248,1485,4677,1145,9044,1836,7412,1509,8110,1401,9925,2171,20274,2331,16988,2440,34829,3827,23334,2908,19464,2388,7754,1562,7135,1390
0500000US06067,6067,"Sacramento County, California",2007,195570,5174,190452,5313,1667,739,1616,724,1454,570,3214,758,533,342,2195,706,1922,936,2157,705,3196,879,3715,1135,6680,1175,10227,1742,12517,1721,16239,2228,16203,2201,24939,2596,19726,2297,31970,3075,18023,2316,9724,1689,2535,742,5118,1087
0500000US06071,6071,"San Bernardino County, California",2007,206058,6270,197237,6233,497,347,1070,552,1229,514,1778,631,1452,591,1858,666,2459,756,4211,1139,2986,829,6130,1327,5914,1472,10580,1897,9013,2028,9334,1782,13194,2001,22744,2462,21824,2814,40337,3494,19972,2421,16738,2481,3917,1119,8821,1829
0500000US06073,6073,"San Diego County, California",2007,461022,7836,445823,7897,1035,599,1345,647,1518,638,5065,1088,2712,1012,3193,920,2798,962,4635,1030,3963,1021,6134,1201,4804,1256,9933,1729,10923,1707,15372,2383,20968,3092,45990,3483,51828,3578,86339,5187,58667,4259,76361,4495,32240,2969,15199,1986
0500000US06075,6075,"San Francisco County, California",2007,200138,4408,195086,4335,978,618,856,562,1230,586,5761,1283,3126,854,2672,816,2431,799,4024,1034,5231,1299,4639,1044,3895,1147,4860,1131,3993,1138,5093,1301,5417,1218,12421,2042,13818,1984,30222,2680,20910,1982,33646,2777,29863,2768,5052,1199
0500000US06077,6077,"San Joaquin County, California",2007,76331,4545,72513,4380,0,292,411,359,633,446,1154,593,856,440,1095,463,783,397,2094,791,2237,840,3259,990,3346,1182,4002,1149,5196,1325,5791,1455,5289,1397,10624,2178,7002,1481,8361,1455,4349,1245,4059,1130,1972,734,3818,1052
0500000US06079,6079,"San Luis Obispo County, California",2007,44467,2602,41677,2309,59,99,162,159,0,292,268,219,391,484,690,536,296,332,646,639,970,578,941,471,931,537,1305,641,1359,818,1687,934,2718,1108,4740,1349,4083,1398,9611,1839,5653,1327,3920,1039,1247,669,2790,1179
0500000US06081,6081,"San Mateo County, California",2007,95740,3668,92956,3518,220,260,169,161,215,207,128,153,442,432,138,106,95,154,413,288,131,137,630,493,404,333,1195,580,537,373,1344,603,843,383,4958,1272,7786,1312,18669,2123,17122,2287,24774,2459,12743,1751,2784,964
0500000US06083,6083,"Santa Barbara County, California",2007,66045,2607,62183,2477,44,74,365,365,703,440,1048,553,693,370,738,385,904,445,492,387,502,345,1275,478,1329,704,1373,696,1123,576,2045,936,1529,523,5253,1051,6068,1209,12006,1593,7060,1455,11113,1710,6520,1376,3862,1060
0500000US06085,6085,"Santa Clara County, California",2007,227777,6319,222134,6392,798,469,329,208,1055,513,2917,956,1660,570,1312,572,1948,788,2509,749,1169,496,2933,990,3225,1075,3044,861,2531,1061,4082,997,5251,1159,15823,2407,15354,2379,46237,3779,34683,2711,49372,3970,25902,2299,5643,1179
0500000US06087,6087,"Santa Cruz County, California",2007,37942,2058,36772,2090,57,96,430,386,76,129,787,475,456,357,614,391,278,237,279,198,165,159,494,377,906,520,1735,758,1022,521,1805,729,862,513,2585,794,3207,793,7023,1354,4652,1097,5951,1100,3388,986,1170,559
0500000US06089,6089,"Shasta County, California",2007,24877,1969,23248,1893,58,102,224,214,738,546,922,563,431,301,730,597,668,486,1136,657,1295,630,1744,895,1768,907,1873,876,1777,759,1555,746,2332,842,1721,876,1755,821,2105,886,307,310,0,292,109,179,1629,744
0500000US06095,6095,"Solano County, California",2007,44563,2503,42577,2538,0,292,342,302,365,304,541,331,432,294,420,270,565,391,884,424,483,365,666,374,646,351,565,446,1320,541,1255,590,2076,809,5262,1139,4591,948,8626,1433,5577,1228,6309,1356,1652,640,1986,697
0500000US06097,6097,"Sonoma County, California",2007,68338,3055,64707,3087,319,316,306,271,371,298,541,270,706,431,202,152,629,326,166,156,733,382,1356,584,668,408,1882,773,1235,540,1408,624,2680,726,6981,1366,7994,1395,15200,2354,8264,1975,11404,1930,1662,650,3631,1213
0500000US06099,6099,"Stanislaus County, California",2007,56837,3363,54506,3274,559,449,104,122,929,673,697,458,943,551,1215,483,764,445,1124,524,1129,673,3187,858,2914,828,3932,1005,3327,952,4375,1184,3182,879,8053,1602,4315,1195,8388,1698,2595,920,2031,875,743,513,2331,794
0500000US06101,6101,"Sutter County, California",2007,10445,1272,10098,1286,0,292,49,86,0,292,243,207,239,189,284,205,291,294,48,82,237,195,1159,594,578,357,948,496,1711,817,550,309,333,276,1038,530,909,561,999,545,377,284,105,168,0,292,347,235
0500000US06107,6107,"Tulare County, California",2007,50160,2468,47664,2513,214,189,276,263,703,434,973,475,1704,701,3064,1006,2952,925,4321,1205,4089,1174,4520,1191,1992,689,3792,917,2498,851,2726,857,2315,989,4211,1093,2488,776,3424,1103,511,448,520,339,371,362,2496,654
0500000US06111,6111,"Ventura County, California",2007,82445,3679,78476,3579,0,292,147,116,824,465,1195,633,1060,450,651,328,517,374,830,531,246,192,2009,768,923,481,1248,639,1842,800,999,561,1914,819,5010,1159,5701,1324,14510,2053,13443,1873,16542,1814,8865,1636,3969,1055
0500000US06113,6113,"Yolo County, California",2007,30607,1792,29446,1745,96,120,102,114,472,355,226,211,463,455,428,296,190,175,394,261,688,464,1228,592,703,462,1211,646,1576,688,1210,761,1649,713,4651,1008,2139,780,5186,1213,3019,815,3016,1001,799,461,1161,581
0500000US06115,6115,"Yuba County, California",2007,11067,1269,10385,1227,0,292,0,292,174,180,683,529,208,176,171,264,305,276,677,472,435,381,1408,678,561,356,1212,651,684,465,316,293,766,488,508,354,353,333,399,293,768,488,757,510,0,292,682,386
0500000US06001,6001,"Alameda County, California",2008,228751,5741,222112,5677,1711,541,1038,583,1387,644,3964,1017,2219,628,519,319,1494,660,3027,1087,2193,576,2896,756,3354,1027,3862,981,4112,908,6374,1400,8642,1535,20310,2242,17435,2306,54289,3803,30155,2864,36397,2919,16734,2195,6639,1391
0500000US06007,6007,"Butte County, California",2008,36560,2391,35310,2436,147,131,103,166,252,200,945,533,342,328,1268,636,1140,493,557,303,1768,780,2461,1065,1915,758,2482,1014,2982,1028,2444,1069,2401,843,5191,1252,1831,829,3570,957,1285,544,1391,615,835,626,1250,477
0500000US06013,6013,"Contra Costa County, California",2008,114412,4807,110672,4693,1358,713,648,443,547,369,2158,829,1416,764,284,257,1264,765,1035,528,1188,697,1382,617,293,333,1021,615,1328,652,1959,735,2223,894,8296,1442,10250,1958,26049,2904,17656,2063,20140,2218,10177,1530,3740,1165
0500000US06017,6017,"El Dorado County, California",2008,18818,1909,18208,1912,0,294,0,294,134,113,113,129,131,129,101,176,501,343,35,58,24,29,811,524,164,201,973,693,1087,662,1074,660,1064,510,2125,1032,2451,1004,3555,1190,1876,802,1056,506,933,555,610,307
0500000US06019,6019,"Fresno County, California",2008,129165,4378,123809,4302,1178,614,1248,591,2254,798,3082,826,1686,614,5290,1569,3317,997,5795,1131,5268,1359,8689,1582,6513,1313,10789,1765,9904,2036,9327,1801,8739,1744,8922,1356,7993,1586,13590,1972,5884,1514,3100,933,1241,501,5356,1395
0500000US06023,6023,"Humboldt County, California",2008,24356,1860,22892,1758,254,230,465,378,294,271,352,314,582,329,728,462,194,156,1376,730,1107,604,1974,780,1722,594,2181,849,1158,525,2128,776,780,361,1295,511,1097,502,2867,940,1216,464,1052,502,70,111,1464,499
0500000US06025,6025,"Imperial County, California",2008,21095,1891,19805,1846,336,306,749,500,431,349,653,412,1056,592,372,280,1019,486,1582,755,1435,612,2536,792,1668,933,1630,830,1172,672,782,529,887,442,1115,673,1005,504,487,254,724,400,166,198,0,294,1290,504
0500000US06029,6029,"Kern County, California",2008,98718,4748,93625,4534,575,441,495,367,539,405,1356,594,1638,709,2458,756,2943,1063,3280,958,4768,1401,7680,1616,8596,1620,7760,1621,8030,1588,5974,1428,4866,1565,9484,1458,5870,1408,9065,1673,4441,1243,2679,910,1128,427,5093,1298
0500000US06031,6031,"Kings County, California",2008,18086,1625,16567,1522,96,122,77,91,268,227,146,176,388,310,54,93,1107,404,594,403,430,286,879,549,640,423,1675,698,1070,527,856,430,1163,606,1406,620,1220,599,3212,1163,853,441,267,237,166,161,1519,620
0500000US06037,6037,"Los Angeles County, California",2008,1639800,13653,1602453,13184,7438,1253,4059,1109,6120,1248,29405,2613,14211,2001,12369,1822,12705,1740,24227,2441,20626,2263,34223,3281,30262,2409,56889,3904,49491,3811,73545,4483,72930,4029,180866,7241,163951,7287,309603,8177,179767,6955,205987,6089,113779,5862,37347,3592
0500000US06039,6039,"Madera County, California",2008,16914,1700,15136,1638,0,294,16,28,125,152,160,166,70,119,696,500,897,627,378,308,66,110,1243,608,822,477,924,496,804,531,563,476,830,441,1956,880,2278,911,1846,872,867,645,482,490,113,157,1778,725
0500000US06045,6045,"Mendocino County, California",2008,13349,1605,12107,1575,0,294,175,163,103,122,115,135,339,306,328,225,197,228,1221,602,210,184,479,310,315,310,1006,580,1332,572,428,332,764,526,2043,798,1092,589,1172,478,412,350,316,438,60,106,1242,607
0500000US06047,6047,"Merced County, California",2008,33851,2126,31320,2086,389,317,158,225,567,429,601,388,208,263,1412,580,1361,663,2449,928,2801,877,2568,858,2337,919,2135,833,2601,1007,1318,618,2220,913,2442,747,2804,1016,2079,726,661,678,126,151,83,130,2531,796
0500000US06053,6053,"Monterey County, California",2008,60627,3048,58786,2979,326,366,134,165,302,318,1137,558,508,330,245,195,655,422,603,344,1413,661,1219,568,1116,573,1502,685,1956,816,2361,747,3100,967,6482,1417,6449,1646,9950,1763,8045,1718,7525,1517,3758,940,1841,712
0500000US06055,6055,"Napa County, California",2008,16286,1798,15699,1820,0,294,28,50,46,79,333,345,373,283,0,294,261,274,71,136,321,503,339,206,52,86,974,809,608,464,578,521,501,320,664,370,2012,815,3094,1073,2221,775,1864,712,1359,611,587,408
0500000US06057,6057,"Nevada County, California",2008,12353,1626,11784,1635,71,120,0,294,181,185,833,773,34,58,0,294,62,108,179,263,119,222,108,143,527,407,463,417,681,544,358,421,357,272,2504,1050,778,660,1883,890,1893,830,684,512,69,117,569,348
0500000US06059,6059,"Orange County, California",2008,378613,7205,369598,7054,418,224,742,464,1443,612,3808,1007,1685,676,1124,462,1580,697,2486,892,755,333,2282,732,794,400,2409,928,2464,825,3723,791,4303,1008,18803,2222,26948,2493,78625,3936,80368,4156,87960,5282,46878,3571,9015,1674
0500000US06061,6061,"Placer County, California",2008,34540,2679,33547,2609,0,294,125,148,13,22,861,469,23,38,95,124,67,89,166,193,395,282,915,609,540,421,997,572,1802,835,1168,726,980,539,3858,1246,3485,1421,5707,1090,4470,1250,5735,1356,2145,895,993,426
0500000US06065,6065,"Riverside County, California",2008,209250,6483,202547,6423,1495,752,263,237,1478,564,2561,874,1475,650,2674,826,1804,628,3795,1117,3124,784,5443,1333,3837,822,6300,1328,5978,1263,8078,1558,10167,1892,22072,2579,19914,2623,41588,4214,22497,3254,27710,3094,10294,2046,6703,1192
0500000US06067,6067,"Sacramento County, California",2008,204149,5775,198898,5699,2184,980,1136,589,2330,777,2277,811,1276,513,1513,711,2029,676,1634,556,3098,818,4043,980,6084,1118,8982,1475,12871,1874,13333,2095,16726,2047,28286,2937,19303,1973,33818,3414,23272,2721,11870,2082,2833,831,5251,1130
0500000US06071,6071,"San Bernardino County, California",2008,215082,6908,206939,6985,1489,773,753,411,941,497,3071,823,1098,384,1703,629,2502,1051,3325,1077,3896,1212,6570,1220,6291,1785,7536,1449,8531,1552,8182,1350,12687,2176,21947,2977,22862,2339,41529,3222,22165,2278,21927,2279,7934,1887,8143,1813
0500000US06073,6073,"San Diego County, California",2008,452651,8696,439638,8570,318,200,860,401,1657,585,7590,1195,3440,763,1592,684,2468,877,4631,1243,3760,866,5444,1215,4559,973,7048,1140,9461,1420,13753,1876,18811,1996,42397,3344,46056,3847,87395,4540,59421,3459,81676,4897,37301,3396,13013,1781
0500000US06075,6075,"San Francisco County, California",2008,195714,5676,191007,5735,595,445,1366,724,899,466,4851,1201,5013,1142,2683,1264,2264,878,4946,1174,4252,904,5784,1423,3074,918,4218,1008,3975,1010,5491,1375,4300,1130,10270,1685,10157,1794,25986,2702,22051,2621,33613,3045,35219,2864,4707,1012
0500000US06077,6077,"San Joaquin County, California",2008,83894,3495,79251,3452,286,167,376,445,797,432,954,560,1503,667,1078,515,926,445,1449,579,2143,846,4201,1282,3831,995,5692,1238,4802,1196,6551,1378,5047,1258,9240,1651,6400,1460,10941,1979,6168,1433,4448,1240,2418,834,4643,1219
0500000US06079,6079,"San Luis Obispo County, California",2008,37215,2864,35586,2927,0,294,235,370,0,294,152,145,135,164,701,504,261,270,721,508,384,285,640,401,1552,830,1112,854,1606,769,1628,694,1726,692,2943,858,3766,1230,6480,1219,5030,1185,4719,1416,1795,651,1629,745
0500000US06081,6081,"San Mateo County, California",2008,100369,4269,97261,4311,192,190,215,260,230,270,579,387,512,424,297,290,284,267,939,612,308,236,743,447,203,191,616,371,1123,676,1269,565,679,552,3622,1021,5615,1377,21965,2298,19125,2129,21472,2315,17273,2396,3108,1010
0500000US06083,6083,"Santa Barbara County, California",2008,64084,3177,61131,3177,44,78,208,178,618,428,410,310,673,491,348,299,411,319,823,470,546,394,658,299,864,436,1328,651,1063,423,1992,771,1920,695,4311,1153,5067,1098,11626,1788,8759,1592,11207,1743,8255,1244,2953,888
0500000US06085,6085,"Santa Clara County, California",2008,232767,5704,226200,5596,919,455,396,294,610,392,2361,924,2226,847,1887,739,1393,573,1971,784,1416,796,2683,799,1843,657,2030,805,1600,758,2027,761,3768,1073,13698,2365,16530,2253,42751,3180,36376,3104,56751,3332,32964,2820,6567,1215
0500000US06087,6087,"Santa Cruz County, California",2008,37760,2297,36475,2303,85,135,90,76,150,112,1299,479,394,375,571,347,459,466,320,310,295,317,661,429,434,284,678,482,533,326,1064,483,782,487,1830,641,2759,893,7190,1343,4858,1191,8096,1585,3927,1108,1285,592
0500000US06089,6089,"Shasta County, California",2008,24438,2239,23030,2147,56,94,238,375,42,73,646,374,402,241,1017,677,562,309,804,481,623,588,1948,913,1693,1000,1815,962,2247,970,952,529,1278,579,3830,1304,1940,891,2048,748,330,222,419,366,140,112,1408,627
0500000US06095,6095,"Solano County, California",2008,49056,2903,47147,2805,201,289,362,252,66,109,448,303,469,311,396,356,501,336,634,513,0,294,519,457,375,314,867,417,442,227,709,422,2450,847,5480,1432,5579,1316,10152,1680,8040,1458,7880,1402,1577,774,1909,593
0500000US06097,6097,"Sonoma County, California",2008,66159,3152,63070,3105,413,360,391,363,235,238,664,371,325,256,614,443,528,369,921,510,569,345,1355,594,572,380,455,216,1050,577,2407,810,2539,924,7563,1339,6815,1284,13132,1693,9555,1441,10161,1772,2806,896,3089,862
0500000US06099,6099,"Stanislaus County, California",2008,60806,3339,57927,3217,143,225,235,218,920,570,1185,683,657,359,550,342,1037,457,1459,637,1144,490,2160,828,3646,1007,3787,1097,3538,1188,4003,1051,5806,1340,9427,1678,4931,1054,8102,1836,3031,968,1831,834,335,221,2879,869
0500000US06101,6101,"Sutter County, California",2008,12286,1373,11274,1347,114,142,84,141,94,117,110,184,104,123,66,97,465,392,762,576,406,253,776,377,508,372,1223,613,1515,525,149,154,252,196,1207,595,637,428,1861,830,495,322,446,389,0,294,1012,479
0500000US06107,6107,"Tulare County, California",2008,50961,3130,47500,2877,93,109,239,263,448,439,1184,620,1315,607,1848,577,2795,771,2448,1076,4433,1072,4449,1014,3028,1178,4411,877,4631,1204,1534,679,2405,929,3428,1085,4197,1334,3271,1053,704,520,345,293,294,290,3461,895
0500000US06111,6111,"Ventura County, California",2008,86708,3728,83360,3916,488,366,227,217,810,402,899,541,1299,702,1339,542,415,240,838,434,654,396,979,491,1030,560,1282,583,882,472,1489,636,1086,438,5260,1274,5297,1022,13734,1842,15135,2038,18403,2039,11814,1797,3348,892
0500000US06113,6113,"Yolo County, California",2008,32058,3378,30689,3293,73,133,0,294,481,365,65,100,95,153,301,256,279,244,797,518,725,462,894,448,594,479,1738,686,1623,756,1392,593,1237,658,2372,753,3541,1043,5418,1394,4717,1188,3405,1044,942,608,1369,494
0500000US06115,6115,"Yuba County, California",2008,10560,1343,9320,1310,86,111,0,294,33,59,100,123,111,98,23,39,350,302,433,262,288,334,595,408,461,457,1328,645,680,402,673,441,565,386,344,320,563,454,1653,822,829,510,205,212,0,294,1240,420
0500000US06001,6001,"Alameda County, California",2009,237574,5884,232328,5966,1403,775,1143,634,1503,577,3965,1143,2581,624,2304,802,1063,454,2954,980,2596,818,4382,1143,3391,885,5995,1426,5545,1240,5564,1557,7380,1417,19746,2426,22234,2368,50318,3227,33955,2824,36877,2981,17429,2294,5246,1125
0500000US06007,6007,"Butte County, California",2009,32602,2421,30723,2426,408,500,81,144,382,275,645,440,116,120,649,362,937,597,2036,1093,1198,555,1906,691,2049,789,2182,803,1572,659,1591,943,2770,1137,3124,1042,1701,715,3433,944,2263,772,1274,598,406,326,1879,595
0500000US06013,6013,"Contra Costa County, California",2009,117223,5428,114045,5189,517,388,973,509,1210,578,1783,714,2081,766,1267,678,771,451,844,456,1181,693,1542,725,858,514,1798,750,1572,635,2779,1012,3323,1294,8926,1842,8835,1378,22598,2482,16272,2237,24167,3052,10748,1920,3178,1020
0500000US06017,6017,"El Dorado County, California",2009,14176,1942,13182,1786,65,111,0,294,0,294,144,182,154,200,157,250,204,233,182,205,422,384,348,228,280,314,196,201,426,332,909,607,418,334,1586,760,1227,579,3655,1170,966,403,1441,595,402,346,994,500
0500000US06019,6019,"Fresno County, California",2009,128342,3864,122070,3776,1655,654,612,380,1641,500,2820,840,1774,701,2514,850,2923,1077,3733,898,5202,1306,7765,1389,7183,1567,9075,1619,10187,1790,11034,1995,10033,1687,9593,1675,8714,1569,15407,2084,6018,1502,2944,845,1243,553,6272,1056
0500000US06023,6023,"Humboldt County, California",2009,23224,1577,21904,1565,100,170,84,94,590,452,16,26,244,142,259,177,573,382,985,465,1126,679,2030,678,988,441,2098,811,1028,577,1892,924,1718,650,2088,704,1280,704,2862,943,1008,512,582,347,353,255,1320,715
0500000US06025,6025,"Imperial County, California",2009,19944,1950,18573,1853,415,275,372,408,921,430,900,398,391,301,829,510,1347,666,1305,529,950,471,1994,767,1451,537,1080,470,1078,603,810,491,889,569,1056,511,776,439,1027,578,588,391,394,314,0,294,1371,550
0500000US06029,6029,"Kern County, California",2009,96434,4698,92442,4508,792,504,412,386,1056,603,1704,676,720,365,1828,794,2855,1037,3630,1119,4696,1183,5731,1199,7536,1387,7037,1371,8104,1569,6257,1288,5118,1224,9231,1765,5319,1191,11470,1972,4650,1302,3848,1241,448,296,3992,1011
0500000US06031,6031,"Kings County, California",2009,19087,1801,17331,1741,0,294,267,263,491,280,597,416,58,72,275,220,615,427,1012,556,642,407,829,414,520,393,1785,789,1944,816,965,478,803,613,1235,570,1424,648,2481,853,968,604,301,225,119,105,1756,619
0500000US06037,6037,"Los Angeles County, California",2009,1651764,14842,1608268,14103,6959,1368,3899,866,9095,1426,23455,2128,14532,2030,10623,1702,10679,1758,20595,2480,16299,2188,33530,3032,26922,2364,50663,3876,48946,3654,64572,4022,71360,3813,161971,6297,165241,7142,333527,8662,197326,8532,218135,8529,119939,5761,43496,3423
0500000US06039,6039,"Madera County, California",2009,15647,1583,13938,1610,0,294,12,20,47,78,265,196,135,214,743,458,100,125,260,264,600,500,1382,623,366,259,1468,724,1305,609,687,491,1196,710,1249,666,1264,663,1982,665,630,386,247,203,0,294,1709,691
0500000US06041,6041,"Marin County, California",2009,38217,2469,37678,2476,219,286,99,151,209,198,561,358,66,105,79,97,243,346,55,91,876,829,549,412,95,150,259,221,129,194,106,146,267,212,1734,744,1328,632,6131,1495,5604,1280,10208,1647,8861,1571,539,290
0500000US06045,6045,"Mendocino County, California",2009,12486,1598,11822,1558,306,372,371,343,113,104,305,224,50,85,265,224,699,545,601,345,206,217,381,310,454,368,767,496,850,639,987,684,760,410,791,393,1069,551,1409,625,336,314,915,491,187,232,664,393
0500000US06047,6047,"Merced County, California",2009,34219,2459,31677,2482,214,287,74,130,211,207,538,340,584,348,836,486,526,399,1274,651,1557,688,3329,1031,2748,848,1859,815,2935,790,2799,885,749,449,4681,1079,2523,876,3427,957,392,318,313,236,108,124,2542,758
0500000US06053,6053,"Monterey County, California",2009,63460,2797,60749,2728,215,259,525,477,139,185,947,456,474,284,594,345,398,325,832,413,497,342,836,465,1103,591,1818,640,2063,845,2528,797,2537,906,6136,1288,8035,1518,11081,1631,5727,1215,9530,1809,4734,1198,2711,874
0500000US06055,6055,"Napa County, California",2009,17716,1879,17087,1969,175,253,0,294,104,179,343,220,0,294,66,111,83,104,79,99,0,294,269,271,151,158,864,564,55,96,744,542,468,375,1590,753,1225,579,3838,935,2001,879,3555,1151,1477,602,629,431
0500000US06059,6059,"Orange County, California",2009,389030,7282,379355,7312,196,187,380,317,1072,390,3952,891,1865,767,1662,647,2369,690,2561,645,1443,493,2666,851,1873,694,2009,648,3157,890,3470,1129,3429,954,14915,1950,24505,2622,78579,3526,84458,4633,92846,4384,51948,4170,9675,1363
0500000US06061,6061,"Placer County, California",2009,35908,2558,34509,2607,34,59,137,214,347,363,209,212,102,150,579,449,533,487,234,263,368,237,271,209,455,317,1372,734,1248,663,983,460,1405,772,5141,1188,3456,1071,6184,1331,3988,1239,4974,1506,2489,848,1399,686
0500000US06065,6065,"Riverside County, California",2009,209259,6840,199895,6629,764,439,687,480,2023,747,2665,748,1918,783,1960,708,3608,970,3506,975,3345,936,5128,1337,5308,1321,5494,1018,6386,1465,6620,1450,9636,1525,23030,2285,20756,2740,39648,3901,22062,2881,24256,2689,11095,1759,9364,1587
0500000US06067,6067,"Sacramento County, California",2009,214776,5894,209427,6147,2348,736,800,374,1827,784,3034,1033,1385,732,1318,585,1708,637,3419,858,1963,759,5052,1219,6483,1406,10622,1795,13432,1576,15842,2377,19283,2463,27124,2490,20862,2235,36490,3272,19505,2574,12906,1997,4024,1268,5349,1225
0500000US06071,6071,"San Bernardino County, California",2009,214620,6266,206352,6197,662,465,1234,609,1727,709,1998,677,2129,810,2592,878,1951,714,3484,1263,2427,913,7251,1639,6380,1486,7743,1704,10227,1805,10541,2067,9910,1595,25607,3002,21821,2662,39959,3493,23928,2895,19436,2289,5345,1368,8268,1563
0500000US06073,6073,"San Diego County, California",2009,470188,6384,459254,6057,1248,490,1066,610,850,486,6194,1025,3402,902,2901,926,1941,701,5043,1191,3289,900,6243,1264,4546,1098,5623,1011,8268,1572,12173,1891,19626,2669,41175,3081,49754,4104,89733,4381,68640,4448,85207,4968,42332,3703,10934,1518
0500000US06075,6075,"San Francisco County, California",2009,202406,4190,196190,4408,1244,726,1503,962,1164,548,5101,1311,4106,1013,2071,630,1655,616,2918,975,3550,934,5918,1127,2283,872,4491,1033,3244,1032,4361,1234,3490,836,9592,1487,9989,2054,26012,3011,21949,2165,40764,3158,40785,3066,6216,1256
0500000US06077,6077,"San Joaquin County, California",2009,81533,4457,78230,4362,495,394,134,164,338,269,781,357,342,252,1062,504,941,524,1523,720,1667,684,2921,948,3156,903,4412,1183,3370,996,5460,1346,5243,1156,12338,1904,5341,1247,13677,2061,7687,1400,5470,1547,1872,725,3303,762
